S.N,Heading,Mid-heading,Sub-heading,Amount,Year
1,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,राष्ट्रपति,"31,44,11",2073
2,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,उपराष्ट्रपति,"3,07,23",2073
3,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,संविधान सभा / व्यवस्थापिका-संसद,"1,32,83,33",2073
4,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अख्तियार दुरुपयोग अनुसन्धान आयोग,"73,96,93",2073
5,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,महालेखा परीक्षकको कार्यालय,"42,84,32",2073
6,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,"3,93,86,12",2073
7,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अर्थ मन्त्रालय,"6,40,15,25",2073
8,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,पररास्ट्र मन्त्रालय,"2,40,38,21",2073
9,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,सहरी बिकाश मन्त्रालय,"8,48,92",2073
10,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,सहकारी तथा गरिबी निवारण मन्त्रालय,"10,94,94",2073
11,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,सामान्य प्रशासन मन्त्रालय,"5,83,29",2073
12,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"78,97,63",2073
13,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अर्थ मन्त्रालय -बैदेशिक ऋण भुक्तानी (बहुपेक्षीय),"4,39,27,88",2073
14,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अर्थ मन्त्रालय -बैदेशिक ऋण भुक्तानी (दुइपक्षीय),"81,63,62",2073
15,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अर्थ मन्त्रालय - कर्मचारी सुबिधा तथा सेवानिवृत सुबिधा,"44,50,00,00",2073
16,सामान्य सार्वजनिक सेवा,कार्यकारी र बिधायिकाको निकाय वित्तीय र बैदेशिक मामला,अर्थ मन्त्रालय - बिबिध,"29,55,83,77",2073
17,सामान्य सार्वजनिक सेवा,बाह्य आर्थिक सहायता,सिचाई मन्त्रालय,"20,00,00",2073
18,सामान्य सार्वजनिक सेवा,सामान्य सेवा,लोकसेवा आयोग,"48,18,90",2073
19,सामान्य सार्वजनिक सेवा,सामान्य सेवा,अर्थ मन्त्रालय,"1,14,84,40",2073
20,सामान्य सार्वजनिक सेवा,सामान्य सेवा,गृह मन्त्रालय,"10,36,48,06",2073
21,सामान्य सार्वजनिक सेवा,सामान्य सेवा,"संस्कृति, पर्यटन तथा नागरिक उड्डयन मन्त्रालय","57,74,39",2073
22,सामान्य सार्वजनिक सेवा,सामान्य सेवा,पररास्ट्र मन्त्रालय,"59,36,69",2073
23,सामान्य सार्वजनिक सेवा,सामान्य सेवा,वन तथा भू-संरक्षण मन्त्रालय,"2,03,16",2073
24,सामान्य सार्वजनिक सेवा,सामान्य सेवा,सहरी बिकाश मन्त्रालय,"75,65,76",2073
25,सामान्य सार्वजनिक सेवा,सामान्य सेवा,सामान्य प्रशासन मन्त्रालय,"75,16,47",2073
26,सामान्य सार्वजनिक सेवा,सामान्य सेवा,संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"2,91,52",2073
27,सामान्य सार्वजनिक सेवा,सामान्य सेवा,राष्ट्रिय योजना आयोगको सचिवालय,"87,30,68",2073
28,सामान्य सार्वजनिक सेवा,सामान्य अनुसन्धान तथा बिकाश सेवा,अर्थ मन्त्रालय,"1,43,25",2073
29,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,निर्वाचन आयोग,"57,70,93",2073
30,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,राष्ट्रिय मानव आधिकार आयोग,"12,21,60",2073
31,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,गृह मन्त्रालय,"2,05,10",2073
32,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,भौतिक पूर्वाधार तथा यातायात मन्त्रालय,"6,01,94",2073
33,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,शान्ति तथा पुननिर्माण मन्त्रालय,"51,55,79",2073
34,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"5,51,30,00",2073
35,सामान्य सार्वजनिक सेवा,अन्य सामान्य सेवा,अर्थ मन्त्रालय - वित्तीय व्यवस्था,"13,03,00",2073
36,सामान्य सार्वजनिक सेवा,सार्वजनिक ऋण कारोबार,अर्थ मन्त्रालय-आन्तरिक ऋण भुक्तानी,"57,33,71,01",2073
37,सामान्य सार्वजनिक सेवा,विभिन्न तहका सरकारहरु बीच हुने सामान्य प्रकृतिको हस्तान्तरण,संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"18,68,60,04",2073
38,रक्षा,सैनिक सुरक्षा,उध्योग मन्त्रालय,"32,03,03",2073
39,रक्षा,सैनिक सुरक्षा,रक्षा मन्त्रालय,"32,21,23,33",2073
40,रक्षा,नागरिक सुरक्षा,गृह मन्त्रालय,"24,05,00",2073
41,रक्षा,नागरिक सुरक्षा,अर्थ मन्त्रालय - वित्तीय व्यवस्था,"4,68,97,90",2073
42,रक्षा,रक्षा - अन्यत्र वर्गीकृत नभएको,सहरी बिकाश मन्त्रालय,"3,02,00",2073
43,सार्वजनिक शान्ति सुरक्षा,प्रहरी सेवा,गृह मन्त्रालय,"26,12,63,92",2073
44,सार्वजनिक शान्ति सुरक्षा,अग्नि नियन्त्रण सेवा,गृह मन्त्रालय,"71,00",2073
45,सार्वजनिक शान्ति सुरक्षा,न्यायालय,अदालत,"3,98,95,64",2073
46,सार्वजनिक शान्ति सुरक्षा,न्यायालय,महान्यायाधिबक्ताको कार्यालय,"64,40,58",2073
47,सार्वजनिक शान्ति सुरक्षा,न्यायालय,न्याय परिसद्,"5,89,64",2073
48,सार्वजनिक शान्ति सुरक्षा,न्यायालय,"कानुन, न्याय, संबिधानसभा तथा संसदीय मामिला मन्त्रालय","14,32,40",2073
49,सार्वजनिक शान्ति सुरक्षा,न्यायालय,श्रम तथा रोजगार मन्त्रालय,"94,98",2073
50,सार्वजनिक शान्ति सुरक्षा,कारागार,गृह मन्त्रालय,"1,17,33,45",2073
51,सार्वजनिक शान्ति सुरक्षा,सार्वजनिक शान्ति सुरक्षा - अन्यत्र वर्गीकृत नभएको,प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,"1,06,10,17",2073
52,सार्वजनिक शान्ति सुरक्षा,सार्वजनिक शान्ति सुरक्षा - अन्यत्र वर्गीकृत नभएको,गृह मन्त्रालय,"3,09,56,48",2073
53,सार्वजनिक शान्ति सुरक्षा,सार्वजनिक शान्ति सुरक्षा - अन्यत्र वर्गीकृत नभएको,शान्ति तथा पुननिर्माण मन्त्रालय,"2,91,91,32",2073
54,आर्थिक मामिला,"सामान्य आर्थिक, ब्यापारिक र श्रम",प्रधानमन्त्री तथा मन्त्रिपरिषद्को कार्यालय,"10,88,02",2073
55,आर्थिक मामिला,"सामान्य आर्थिक, ब्यापारिक र श्रम",बाणिज्य तथा आपूर्ति मन्त्रालय,"2,21,04,67",2073
56,आर्थिक मामिला,"सामान्य आर्थिक, ब्यापारिक र श्रम",सहकारी तथा गरिबी निवारण मन्त्रालय,"51,39,96",2073
57,आर्थिक मामिला,"सामान्य आर्थिक, ब्यापारिक र श्रम",संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"11,78,16,46",2073
58,आर्थिक मामिला,"सामान्य आर्थिक, ब्यापारिक र श्रम",श्रम तथा रोजगार मन्त्रालय,"1,06,46,93",2073
59,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",अर्थ मन्त्रालय,"1,20,00,00",2073
60,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",कृषि विकाश मन्त्रालय,"26,64,31,93",2073
61,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",वन तथा भू-संरक्षण मन्त्रालय,"12,27,08,68",2073
62,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",भूमिसुधार तथा व्यवस्था मन्त्रालय,"4,25,76,81",2073
63,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",सहकारी तथा गरिबी निवारण मन्त्रालय,"55,57,79",2073
64,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",सिचाई मन्त्रालय,"18,63,43,12",2073
65,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",संघिय मामिला तथा स्थानीय बिकाश मन्त्रालय,"1,75,26,19",2073
66,आर्थिक मामिला,"कृषि, वन, मत्स्यपालन तथा शिकार",अर्थ मन्त्रालय - वित्तीय व्यवस्था,"1,50,00,00",2073
67,आर्थिक मामिला,इन्धन तथा उर्जा,उध्योग मन्त्रालय,"11,29,14",2073
68,आर्थिक मामिला,इन्धन तथा उर्जा,उर्जा मन्त्रालय,"5,92,40,57",2073
69,आर्थिक मामिला,इन्धन तथा उर्जा,"बिज्ञान, प्रविधि तथा वातावरण मन्त्रालय","5,54,68,02",2073
70,आर्थिक मामिला,इन्धन तथा उर्जा,अर्थ मन्त्रालय - वित्तीय व्यवस्था,"39,68,33,40",2073
71,आर्थिक मामिला,"खानी, उत्पादन तथा निर्माण",उध्योग मन्त्रालय,"9,73,99",2073
72,आर्थिक मामिला,"खानी, उत्पादन तथा निर्माण",भौतिक पूर्वाधार तथा यातायात मन्त्रालय,"2,55,13,79",2073
73,आर्थिक मामिला,यातायात,भौतिक पूर्वाधार तथा यातायात मन्त्रालय,"45,77,02,62",2073
74,आर्थिक मामिला,यातायात,सहरी बिकाश मन्त्रालय,"87,26,57",2073
